username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink,data
;2018-01-12 00:14;0;0;"CAAP to summon pilots in Albay crash landing https://manilainformer.com/284719/caap-to-summon-pilots-in-albay-crash-landing/ …";;;;"951487518893051904";https://twitter.com/manilainformer/status/951487518893051904
;2018-01-12 00:04;0;0;"What is in "Bacacay Albay?": http://youtu.be/Wh7mmcBmihA?a sa pamamagitan ng @ YouTube";;@;;"951484908681220096";https://twitter.com/Imjksb/status/951484908681220096
;2018-01-12 00:02;0;0;"6 BSP employees safe after crashlanding in Albay http://www.manilatimes.net/6-bsp-employees-safe-crashlanding-albay/373439/ …";;;;"951484367158706176";https://twitter.com/RhaydzBarcia/status/951484367158706176
;2018-01-11 23:24;0;0;"GARNİZON KOMUTANI ALBAY DAVUT KULALAR, İL JANDARMA KOMUTANI ALBAY ERCAN ATASOY, 10 OCAK ÇALIŞAN GAZETECİLER GÜNÜ - http://bit.ly/2D4Zm0v";;;;"951474947981041664";https://twitter.com/81haber/status/951474947981041664
;2018-01-11 23:21;1;4;"Denizli'de, FETÖ darbe girişimine ilişkin 64 sanığın yargılandığı davada, eski Denizli Garnizon ve 11. Komando Tugay Komutanı Tuğgeneral Kamil Özhan Özbakır ile eski Söke Garnizon Komutanı albay Erol Akman müebbet hapis, eski 4 subay da müebbet hapis cezasına çarptırıldı. pic.twitter.com/LjxJ7bdD9J";;;;"951474079428640769";https://twitter.com/BabusSelamHaber/status/951474079428640769
;2018-01-11 23:17;0;0;"Me and my buddies @Sumlang Lake, Albay Legazpi https://www.instagram.com/p/Bd0FyKoDusP/";;@Sumlang;;"951473222658248704";https://twitter.com/john_garlit/status/951473222658248704
;2018-01-11 23:12;0;2;"Seminar sa Albay o Swimming lesson sa PE? Hala pano na ni";;;;"951471763224842241";https://twitter.com/banastrisha/status/951471763224842241
;2018-01-11 23:07;0;0;"My # familia # love # happy # fun @Albay https://www.instagram.com/p/Bd0EmFmhLhx/";;@Albay;# # # #;"951470616284033025";https://twitter.com/IamGYlainah/status/951470616284033025
;2018-01-11 22:41;0;1;"Isang araw na pahinga eto nanaman (@Wacky's Republic in Legaspi City, Albay) https://www.swarmapp.com/c/jI7LXhGpjnO";;@Wacky;;"951464079775985664";https://twitter.com/missnicerio/status/951464079775985664
;2018-01-11 22:36;0;0;"Albay Dere’den Başkan Ergün’e Ziyaret Haber- http://manisaradikal.com/albay-dereden-baskan-ergune-ziyaret/ …pic.twitter.com/PKzuEdqtg6";;;;"951462829265178624";https://twitter.com/manisaradikal/status/951462829265178624
;2018-01-11 22:27;0;0;"Abi şu nazlı ve Altan'ı bi ayrı tut bunları görümce erkenekonda kan akan kalemleri aklıma geliyor albay Tatar ve diğer madurlar bitik hayatlar ne çabuk unuttun be abi";;;;"951460575598579713";https://twitter.com/kutupaneci/status/951460575598579713
;2018-01-11 22:25;0;0;"burada söyleyip kimsenin psikolojisini bozmaya gerek yok patron";;;;"951460008650330113";https://twitter.com/hakanozerr0/status/951460008650330113
;2018-01-11 22:25;0;1;"FETÖ CÜ SUBAYLAR. 22 yaşında Harbokulunu bitirirse,engeller çıkmadığı takdirde 25 yıl sonra Albay oluyor.Harbokulu öğrencilik yılları,Albaylıktan sonra General olma süreside ilave edilirse 35 yıl eder.2015-35=1978 yılına gidilir.O zamanın sorumlu subaylara maşallah UYKUDAYMIŞLAR";;;;"951459998676156417";https://twitter.com/sancakli36/status/951459998676156417
;2018-01-11 22:19;0;0;"lan sen ne diyosun aklıma kötü kötü şeyler geliyoksjs";;;;"951458651465764869";https://twitter.com/hakanozerr0/status/951458651465764869
;2018-01-11 22:05;0;0;"Sonunda bu iş uc bes general albay yarbay üstüne kalacak gibi gidişat o";;;;"951454965117128704";https://twitter.com/boykamehmetylmz/status/951454965117128704
;2018-01-11 22:05;0;0;"AMEN";;;;"951454954048204800";https://twitter.com/khatie0226/status/951454954048204800
;2018-01-11 22:02;0;1;"Dans söz bahar elle à prit la confiance kendini albay saniyo";;;;"951454289054126080";https://twitter.com/Volky54/status/951454289054126080
;2018-01-11 21:58;0;0;"Albay Güven Dere Büyükşehir’de http://www.manisakulishaber.com/gundem/albay-guven-dere-buyuksehirde-h40545.html …pic.twitter.com/qRRWzc1vjN";;;;"951453249386831872";https://twitter.com/manisakulishbr/status/951453249386831872
;2018-01-11 21:49;1;1;"Türk. Verfassungsgericht beschließt Freilassung der Journalisten Mehmet Altan und Sahin Albay # pressefreiheit # türkei";;;# #;"951450904984735747";https://twitter.com/ahval_tr/status/951450904984735747
;2018-01-11 21:45;0;3;"Albay Güven Dere Büyükşehir’de Manisa 1’inci Piyade Eğitim Tugay Komutanı Albay Güven Dere, Manisa Büyükşehir... https://fb.me/XfjlhNXS";;;;"951450017944006656";https://twitter.com/manisabsb/status/951450017944006656
;2018-01-11 21:28;0;1;"DARBEYE HESAP SORMAZ'SANIZ DARBE SİZDEN HESAP SORAR....! 28 ŞUBAT MAĞDURU EMEK. ALBAY İBRAHİM KELEŞ....!";;;;"951445728748032001";https://twitter.com/furkanbjk01/status/951445728748032001
;2018-01-11 21:28;0;0;"Umaasa ako na pupunta kami sa albay";;;;"951445721122619392";https://twitter.com/jaimeeamatias/status/951445721122619392
;2018-01-11 21:25;0;0;"iuwi niyo na lang ako sa albay huhu yoko na dito";;;;"951445065800466432";https://twitter.com/itShaneen19x/status/951445065800466432
