username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-02-02 12:48;0;0;"# HeadlinePilipinas Mahinang pagsabog naitala sa Bulkang Mayon kaninang umaga # BantayMayon | ulat ni Thea Omelan pic.twitter.com/rBr0CKRBxH";;;# #;"959287509661335556";https://twitter.com/DZMMTeleRadyo/status/959287509661335556
;2018-02-02 12:44;0;0;"# HeadlinePilipinas Mayon evacuees, pinipilit mamuhay ng normal sa gitna ng kalbaryo # BantayMayon | ulat ni Erick Baldo pic.twitter.com/WqFTUo1GpN";;;# #;"959286313311596549";https://twitter.com/DZMMTeleRadyo/status/959286313311596549
;2018-02-02 12:17;1;0;"# RadyoPatrol Ilang residenteng naapektuhan ng pag-aalboroto ng Bulkang Mayon, papauwiin na muna kasunod ng pagsisikip sa mga evacuation center # BantayMayon | ulat ni @ RayaCapulongpic.twitter.com/AtMNthLaRQ";;@;# #;"959279486326865925";https://twitter.com/DZMMTeleRadyo/status/959279486326865925
;2018-02-02 09:23;0;9;"Mayon Volcano is still at a high level of unrest and remains to be at alert level 4. Jose Carretero reports. # ANCRecap # BantayMayon pic.twitter.com/k6nuWZIdpW";;;# #;"959235875614859264";https://twitter.com/ANCALERTS/status/959235875614859264
;2018-02-02 09:00;0;0;"Quarry operators, nakikinabang sa ibinubuga ng Mayon # BantayMayon http://bit.ly/2DSTCDy";;;#;"959229883246247938";https://twitter.com/DZMMTeleRadyo/status/959229883246247938
;2018-02-02 06:24;1;12;"LOOK: Live shots of the Mayon Volcano in Albay. # BantayMayon pic.twitter.com/ftdWIb6QAp";;;#;"959190797550632960";https://twitter.com/ANCALERTS/status/959190797550632960
;2018-02-02 06:00;1;2;"Buhangin at bato mula sa Bulkang Mayon, ikinabubuhay ng ilan # BantayMayon http://bit.ly/2GzgxFE";;;#;"959184591683801088";https://twitter.com/DZMMTeleRadyo/status/959184591683801088
;2018-02-02 00:00;0;8;"Buhangin at bato mula sa Bulkang Mayon, ikinabubuhay ng ilan # BantayMayon http://bit.ly/2GzgxFE";;;#;"959093995212165121";https://twitter.com/TVPatrol/status/959093995212165121
;2018-02-01 22:04;0;3;"NOW: Erick Baldo gives updates from Camalig, Albay as Mayon Volcano remains on alert level 4. # BantayMayon pic.twitter.com/pmra2moFE5";;;#;"959065005298565120";https://twitter.com/ANCALERTS/status/959065005298565120
;2018-02-01 21:34;0;0;"The latest Denxoholic Delightful Topics! https://paper.li/denxoholic/1341999261?edition_id=0c6cbee0-0733-11e8-84c2-0cc47a0d164b … # bantaymayon";;;#;"959057345304317954";https://twitter.com/denxoholic/status/959057345304317954
;2018-02-01 21:13;4;7;"INSET: Mayon Volcano spews lava anew. # BantayMayon pic.twitter.com/M65Zlm3Ksq";;;#;"959052108606525440";https://twitter.com/ANCALERTS/status/959052108606525440
;2018-02-01 20:02;1;3;"# ANCRecap: # MayonVolcano remains on alert level 4. Erick Baldo reports. # BantayMayon pic.twitter.com/jfOephxBvp";;;# # #;"959034299272986624";https://twitter.com/ANCALERTS/status/959034299272986624
;2018-02-01 20:02;1;10;"ON THE PHONE: Erick Baldo gives updates on the situation in Albay as Mayon remains at alert level 4. # BantayMayon pic.twitter.com/66AqVP0BVZ";;;#;"959034092695113728";https://twitter.com/ANCALERTS/status/959034092695113728
;2018-02-01 18:47;1;4;"# TVPatrol Quarry operators, kumikita sa mga bato at buhanging ibinubuga ng Bulkang Mayon # BantayMayon | ulat ni Jose Carretero pic.twitter.com/Zyl27rhsxd";;;# #;"959015392197844992";https://twitter.com/TVPatrol/status/959015392197844992
;2018-02-01 18:45;4;28;"# TVPatrol Mga nasa Albay, humanga sa paglabas ng super blue blood moon sa gitna ng pag-aalburoto ng Bulkang Mayon # BantayMayon | ulat ni @ jeffcanoypic.twitter.com/NUgdz7EQsJ";;@;# #;"959014713693634561";https://twitter.com/TVPatrol/status/959014713693634561
;2018-02-01 17:34;0;0;"The latest Denxoholic Delightful Topics! https://paper.li/denxoholic/1341999261?edition_id=0c6cbee0-0733-11e8-84c2-0cc47a0d164b … # superbluebloodmoon # bantaymayon";;;# #;"958996897187975168";https://twitter.com/denxoholic/status/958996897187975168
;2018-02-01 16:31;1;0;"# OnTheSpot Higit 50 pagputok, naitala ng @ phivolcs_dost sa Mt. Mayon simula noong Enero 13 # BantayMayon | ulat ni @ RayaCapulongpic.twitter.com/sxWLxIjBlW";;@ @;# #;"958981015594090496";https://twitter.com/DZMMTeleRadyo/status/958981015594090496
;2018-02-01 16:30;0;1;"# OnTheSpot Higit 50 pagputok, naitala ng @ phivolcs_dost sa Mt. Mayon simula noong Enero 13 # BantayMayon | ulat ni @ RayaCapulongpic.twitter.com/8onfbNikHZ";;@ @;# #;"958980911936126976";https://twitter.com/DZMMTeleRadyo/status/958980911936126976
;2018-02-01 14:42;8;38;"At around 2pm, Phivolcs monitored a lava collapse near Basud channel pic.twitter.com/OauYacZIB7 | via @ jeffcanoy # BantayMayon";;@;#;"958953589820411905";https://twitter.com/ABSCBNNews/status/958953589820411905
;2018-02-01 12:43;1;2;"# HeadlinePilipinas Bulkang Mayon, muling nagbuga ng abo at lava # BantayMayon | ulat ni Thea Omelan pic.twitter.com/69VuTnicy6";;;# #;"958923761956274176";https://twitter.com/DZMMTeleRadyo/status/958923761956274176
;2018-02-01 12:42;1;1;"# HeadlinePilipinas # SuperBlueBloodMoon bonus treat sa mga turistang nag-aabang ng lava flow mula sa Bulkang Mayon # BantayMayon | ulat ni Erick Baldo pic.twitter.com/2kEqgCrtFZ";;;# # #;"958923509073297408";https://twitter.com/DZMMTeleRadyo/status/958923509073297408
;2018-02-01 12:24;0;0;"# RadyoPatrol Mga sundalo at pulis, nagsasagawa ng medical mission sa mga naapektuhan ng pag-aalboroto ng Bulkang Mayon # BantayMayon | ulat ni @ RayaCapulongpic.twitter.com/0tVmpUwjlA";;@;# #;"958918909175906304";https://twitter.com/DZMMTeleRadyo/status/958918909175906304
;2018-02-01 12:23;0;1;"# RadyoPatrol Mapinsalang pagputok ng Mayon noong Pebrero 1, 1814, ginunita ngayon # BantayMayon pic.twitter.com/kmOAPoP5L4";;;# #;"958918616040091648";https://twitter.com/DZMMTeleRadyo/status/958918616040091648
;2018-02-01 10:39;8;8;"Pagputok ng Bulkang Mayon noong 1814, ginugunita ngayong araw sa Daraga, Albay # BantayMayon | ulat ni @ RayaCapulongpic.twitter.com/oEK9CwnszT";;@;#;"958892550143713280";https://twitter.com/DZMMTeleRadyo/status/958892550143713280
;2018-02-01 07:07;0;0;"The latest The Morning Journal! https://paper.li/joyceannabellab/1339672010?edition_id=77950720-06db-11e8-b29f-0cc47a0d15fd … # bantaymayon # uaapseason80";;;# #;"958839105458180096";https://twitter.com/joyceannabellab/status/958839105458180096
;2018-02-01 07:04;0;0;"# BantayMayon baka mapunta ang Mayon kung saan-saan. Bantayan!";;;#;"958838515348811777";https://twitter.com/KeedoPeace/status/958838515348811777
;2018-02-01 06:45;0;3;"Ilang senior citizen, nagkuwento sa mga dating paglikas dahil sa Mayon # BantayMayon http://bit.ly/2DQEr1I";;;#;"958833590690697216";https://twitter.com/TVPatrol/status/958833590690697216
;2018-02-01 06:45;0;1;"Ilang senior citizen, nagkuwento sa mga dating paglikas dahil sa Mayon # BantayMayon http://bit.ly/2DQEr1I";;;#;"958833590644629504";https://twitter.com/DZMMTeleRadyo/status/958833590644629504
;2018-02-01 06:22;0;11;"# BantayMayon: Jose Carretero gives updates on the Mayon Volcano. pic.twitter.com/VHyYveQRa2";;;#;"958827893638877184";https://twitter.com/ANCALERTS/status/958827893638877184
;2018-02-01 04:30;0;5;"Phivolcs: 'Super blue blood moon', walang epekto sa Mayon # BantayMayon http://bit.ly/2rVTGkb";;;#;"958799555121655808";https://twitter.com/DZMMTeleRadyo/status/958799555121655808
;2018-02-01 02:01;0;5;"Mayon/girl: (nag tatampo nag tatantrums) Guy: (nakita ang Super Blue Blood Moon) Mayon/girl: nakita ka lang ng mas maganda nakalimutan mo na ako # thoughtko # papadingls # SuperBlueBloodMoon # BantayMayon";;;# # # #;"958762096069566464";https://twitter.com/papadingls/status/958762096069566464
;2018-02-01 01:00;3;13;"'Super blue blood moon,' di konektado sa pag-aalboroto ng Mayon: eksperto # BantayMayon http://bit.ly/2Gy38xr";;;#;"958746717549219842";https://twitter.com/TVPatrol/status/958746717549219842
;2018-02-01 00:13;0;0;"Prayoridad na isakay sa rubber boat ang mga bata, matatanda, may kapansanan at mga buntis. Mula sa rubber boat, ihahatid ang evacuees sa naghihintay na patrol craft. Pagkatapos nito'y dadalhin naman sila sa itatalagang safe zone. # RedAlert # BantayMayon";;;# #;"958735043324649472";https://twitter.com/ABSCBNRedAlert/status/958735043324649472
;2018-02-01 00:12;0;0;"Naghahanda naman ang Southern Luzon Naval Forces sa posibleng rescue operations sa Albay. # RedAlert # BantayMayon";;;# #;"958734719142658049";https://twitter.com/ABSCBNRedAlert/status/958734719142658049
;2018-02-01 00:10;0;0;"Patuloy na tumataas ang bilang ng mga lumilikas sa evacuation centers dahil sa Mayon. # RedAlert # BantayMayon";;;# #;"958734320021024773";https://twitter.com/ABSCBNRedAlert/status/958734320021024773
;2018-02-01 00:03;0;0;"Alamin kung maaaring magkaroon ng daluyong ng lahar sa inyong lugar. # RedAlert # BantayMayon pic.twitter.com/T5sKL4mrvW";;;# #;"958732526180229121";https://twitter.com/ABSCBNRedAlert/status/958732526180229121
;2018-02-01 00:03;0;0;"Kung may lahar flow warning, magpunta sa mataas na lugar. # RedAlert # BantayMayon pic.twitter.com/nV10edSb4x";;;# #;"958732518982803456";https://twitter.com/ABSCBNRedAlert/status/958732518982803456
