username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-01-22 20:56;0;0;"No classes in ALL LEVELS in Daraga tomorrow # MayonEruption https://fb.me/XGqvVsMD";;;#;"955423876263026689";https://twitter.com/iamjustinjay/status/955423876263026689
;2018-01-22 20:39;0;0;"# MayonEruption 01-22-2018: 8:00pm location Malabog, Albay https://fb.me/1cQexvQvd";;;#;"955419660169592832";https://twitter.com/iamjustinjay/status/955419660169592832
;2018-01-22 20:29;0;0;"Classes in all levels (public and private) in Legazpi City are suspended tomorrow, January 23,2018. # MayonEruption https://fb.me/4oL9gzMXI";;;#;"955417240043597824";https://twitter.com/iamjustinjay/status/955417240043597824
;2018-01-22 20:20;0;0;"NEED VOLUNTEERS. Repacking is on going at Casablance Hotel Memento Hall. # MayonEruption Team Albay Youth... https://fb.me/9vDHeS1C2";;;#;"955414778909925376";https://twitter.com/iamjustinjay/status/955414778909925376
;2018-01-22 19:07;0;0;"Nagpapamati na ulit Siya. # MayonEruption # NawaMaramingMatawag";;;# #;"955396562527629312";https://twitter.com/orbz_r/status/955396562527629312
;2018-01-22 18:30;3;1;"Mayon enraged around 12:45PM. # PrayForAlbay # MayonVolcanoAlertLevel4 # MayonVolcano # MayonEruption pic.twitter.com/uYbh0nrEtt";;;# # # #;"955387069878091776";https://twitter.com/pauledwrd/status/955387069878091776
;2018-01-22 17:46;0;0;"URGENT! Hi! Anyone here interested? We need volunteers to help in repacking goods for the # MayonEruption... https://fb.me/4kyZWOdAk";;;#;"955376219058470912";https://twitter.com/pransya_may/status/955376219058470912
;2018-01-22 17:45;0;3;"Ash fall darkens the day in Albay. # Mayon # MayonEruption # ashfall # MayonVolcano # MayonVolcanoAlertLevel4 # Albay # 8kmRadiusDangerZonepic.twitter.com/8q9zec8zw1";;;# # # # # # #;"955375933111730177";https://twitter.com/aglaurice/status/955375933111730177
;2018-01-22 17:33;0;0;"Sa gabos na ngilala ko iyan sa Bicol pakaray tabi kamo. # MayonEruption # MayonVolcano";;;# #;"955372955306942464";https://twitter.com/onadaldalera/status/955372955306942464
;2018-01-22 17:29;0;0;"Hi! Anyone here interested? We need volunteers to help in repacking goods for # MayonEruption evacuees now. If you... https://fb.me/DTVMAitX";;;#;"955371851789643776";https://twitter.com/iamjustinjay/status/955371851789643776
