username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
;2018-01-19 17:14;6;10;". @ philredcross is supporting communities which have evacuated to safer areas as # MayonVolcano erupts. @ Federation readying relief funds # MayonPH https://twitter.com/federation/status/954045742896656384 …";;@ @;# #;"954280877231562752";https://twitter.com/Necephor/status/954280877231562752
;2018-01-19 17:00;2;4;"Our colleagues of @ philredcross are still providing water and food for the people affected by the activities of # MayonPH. http://fal.cn/qMCv";;@;#;"954277278300758016";https://twitter.com/roteskreuz_de/status/954277278300758016
;2018-01-19 15:58;6;5;"Over 26,000 are currently displaced by the # MayonPh volcano eruption, mostly seeking shelter in evacuation centres. More in our latest humanitarian snapshot: https://reliefweb.int/report/philippines/philippines-mayon-volcano-eruption-snapshot-19-jan-2018 …pic.twitter.com/qmtVB2BwFr";;;#;"954261797510332421";https://twitter.com/OCHAPhilippines/status/954261797510332421
;2018-01-19 15:19;3;10;"We are now here at the regional coordination meeting on the ongoing # MayonPH operations in Albay, which is being presided by Gen. Claudio Yucot, Office of the Civil Defense Director of Region 5. # PRCMayonOpspic.twitter.com/bS8YBywiyE";;;# #;"954252006679461888";https://twitter.com/philredcross/status/954252006679461888
;2018-01-19 11:52;1;2;"Continúa la alerta en # Filipinas por la posible erupción del volcán Mayón. Ya son 26.9000 los evacuados y se han abierto 31 centros de evacuación. Esta cuenta es muy útil para seguir la evolución de ese riesgo @ philredcross # volcánMayón # MayonPH # PRCMayonOpshttps://twitter.com/philredcross/status/954198490480967680 …";;@;# # # #;"954199751905378304";https://twitter.com/sararomeroe/status/954199751905378304
;2018-01-19 11:47;37;45;"As PHIVOLCS predicts possible eruption of Mayon volcano within weeks or even days, authorities have ordered evacuation at nearby communities. As of today, some 26,900 individuals remain sheltered in 31 evacuation centers. # MayonPH # PRCMayonOpspic.twitter.com/7sLZVS8GtM";;;# #;"954198490480967680";https://twitter.com/philredcross/status/954198490480967680
;2018-01-19 10:46;3;17;"The @ philredcross # MayonPH rapid assessment team, accompanied by DMS mgr @ resty_lou and relief unit head Archie Molos now at the Albay chapter to discuss plan of action, recommended areas for assessment, and distribution plan. # MayonVolcano # Philippines # ReliefPHpic.twitter.com/8RrKBP6xHh";;@ @;# # # #;"954183128452448256";https://twitter.com/MJEvalarosa/status/954183128452448256
;2018-01-19 10:07;11;14;"Despite numerous volcanic phenomena that resulted in major destructions, Mayon volcano is acclaimed for its symmetrical, near-perfect conical shape. # MayonPH # PRCMayonOpspic.twitter.com/1bDm8Nx1fS";;;# #;"954173445926920192";https://twitter.com/philredcross/status/954173445926920192
;2018-01-18 19:16;8;26;"Our 2 additional water tankers, and 1 food truck from our Pasay chapter have already arrived in Albay to provide aid and relief to those affected by the volcanic activity of # MayonPH. Let us continue to work together to provide the best quality humanitarian service to our people. pic.twitter.com/yXYGyOtW7w";;;#;"953949150982238208";https://twitter.com/philredcross/status/953949150982238208
;2018-01-18 18:40;1;15;"Our Chairman @ DickGordonDG led today an executive meeting to discuss our next steps in the ongoing # MayonPH operations. We must continue to act fast and anticipate eventualities to ensure the best quality humanitarian service for the people of Albay. # PRCMayonOpspic.twitter.com/N1VBOZ7Zpl";;@;# #;"953940177285558272";https://twitter.com/philredcross/status/953940177285558272
;2018-01-18 18:26;0;0;"# MayonPH https://fb.me/9a7JG9C6B";;;#;"953936665130643456";https://twitter.com/RCMuntinlupa/status/953936665130643456
;2018-01-18 17:41;0;0;"# MayonPH https://twitter.com/iamsuperbianca/status/953924616438784000 …";;;#;"953925309929279489";https://twitter.com/armia_frias/status/953925309929279489
;2018-01-18 14:43;6;23;"The Philippine Red Cross’ (PRC) Red Cross Youth arm conducted hygiene promotion to children displaced by Mayon volcano’s looming eruption at San Jose Elementary School in Oas, Albay. # MayonPH # PRCMayonOps https://www.redcross.org.ph/2014-04-10-07-57-43/red-cross-youth-conducts-hygiene-promotion-to-children-displaced-by-mayon …pic.twitter.com/AykPHovpKz";;;# #;"953880430565933061";https://twitter.com/philredcross/status/953880430565933061
;2018-01-18 13:45;8;30;"Have you heard/read about the Legend of Mayon Volcano? Well, as the said volcano continuously show irregular activities, a photographer pretty much captured the story of 'Panganoron' and 'Magayon'. | Fafa Ella Fernandez . # travel # MayonPH # Philippines # LocalHistorypic.twitter.com/pMIFHMhatj";;;# # # #;"953865946615005184";https://twitter.com/uproadtrip/status/953865946615005184
;2018-01-18 13:06;5;28;"Our two additional water tankers are now on its way to Legazpi, Albay to provide water to families displaced by the volcanic activity of # MayonPH. The water tankers are expected to arrive this afternoon in Albay. # PRCMayonOpspic.twitter.com/5JWFktJA5J";;;# #;"953856016453521408";https://twitter.com/philredcross/status/953856016453521408
;2018-01-18 12:03;0;2;"What an AMAZING story. # MayonPH pic.twitter.com/DwzI2JaTlf";;;#;"953840142971674624";https://twitter.com/Owwbree/status/953840142971674624
;2018-01-18 11:54;12;29;"We have been conducting psychosocial support and play therapy in various evacuation centers in Albay. This would help reduce the anxiety and stress of those affected by the looming eruption of # MayonPH Volcano. # PRCMayonOpspic.twitter.com/8c1OS3adB2";;;# #;"953837874461343746";https://twitter.com/philredcross/status/953837874461343746
